,Trust_Score,Kms_Driven,Year,RegState_Codes,Brand_Codes,Fuel_Codes,Trans_Codes,Model_Name,Price
2569,7.0,36525,2016,0,8,0,2,Creta,13.929000837357107
2570,6.6,46250,2014,0,16,0,2,Swift,12.922726369725051
2571,6.7,41452,2010,0,8,2,2,i10,12.28013133075503
2572,6.6,110258,2008,0,8,2,2,Accent,11.666924704759595
2573,6.7,35288,2012,0,16,2,2,Wagon,12.291800699412846
2574,7.0,43555,2017,0,13,0,2,XUV500,14.178600382489757
2575,6.6,36348,2015,0,8,0,2,Xcent,13.101341967694507
2576,7.3,22145,2015,0,13,0,2,Quanto,12.988948549414456
2577,6.5,23362,2014,0,13,0,2,Quanto,12.869610772586
2578,6.7,21452,2017,0,16,0,2,Ertiga,13.695053324827024
2579,7.2,31452,2017,0,6,0,2,EcoSport,13.790246081891146
2580,7.1,59874,2013,0,7,2,2,City,12.982386111848799
2581,7.3,19874,2018,0,8,0,2,Creta,14.15315425101953
2582,7.1,21452,2015,0,28,0,2,Polo,13.308207057566491
2583,7.1,51200,2017,0,13,0,2,XUV500,14.123312854331912
2584,7.3,22365,2007,0,7,2,2,City,12.56833445383768
2585,6.7,26525,2006,0,8,2,2,Santro,11.598983888043474
2586,6.7,22145,2015,0,13,0,2,Bolero,13.297418598206239
2587,6.7,23645,2016,0,16,2,2,Alto,12.64222536836946
2588,7.3,21452,2013,0,7,2,2,City,13.10555693705382
2589,7.3,25414,2012,0,7,2,2,Jazz,12.545262614340855
2590,6.5,24525,2018,0,8,2,2,Grand,13.01391587969428
2591,6.7,21452,2012,0,8,2,2,Eon,11.935726107314043
2592,6.8,25415,2013,0,27,2,2,Etios,12.562046343653522
2593,7.2,59784,2014,0,16,0,2,SX4,12.983641394084248
2594,6.8,36525,2013,0,7,2,2,Brio,12.564299384811466
2595,6.7,31452,2014,0,16,2,2,Alto,12.386129139003932
2596,6.7,41142,2012,0,2,2,2,Spark,12.017596186124266
2597,7.1,33214,2017,0,13,0,2,Scorpio,13.659183010478953
